epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.112,1.59621,1.29694,0.00352,0.61367,0.47949,0.52834,0.32188,1.32612,1.25599,0.00428,3.31783e-05,3.31783e-05,0.0668549
2,196.446,1.51428,1.23968,0.00334,0.78865,0.64891,0.74318,0.51416,1.11156,0.69219,0.0032,6.64194e-05,6.64194e-05,0.0335548
3,282.634,1.48352,1.19082,0.00317,0.78093,0.67425,0.75887,0.53646,1.07071,0.65527,0.00299,9.92918e-05,9.92918e-05,0.000254331
4,367.221,1.45789,1.15167,0.0031,0.76939,0.68358,0.75893,0.53782,1.06407,0.6495,0.00293,9.87566e-05,9.87566e-05,9.87566e-05
5,453.295,1.4584,1.15412,0.00309,0.76036,0.67992,0.75885,0.53443,1.07648,0.66054,0.00297,9.77975e-05,9.77975e-05,9.77975e-05
6,538.926,1.45468,1.14377,0.00304,0.80057,0.68064,0.76778,0.53851,1.06652,0.6507,0.00295,9.65746e-05,9.65746e-05,9.65746e-05
7,624.872,1.4364,1.12846,0.00304,0.80458,0.67712,0.75902,0.53475,1.06032,0.65336,0.00291,9.50953e-05,9.50953e-05,9.50953e-05
8,710.046,1.4398,1.12365,0.00301,0.75849,0.67847,0.76078,0.54061,1.06185,0.65219,0.00292,9.33688e-05,9.33688e-05,9.33688e-05
9,795.913,1.43417,1.11825,0.00302,0.78387,0.67377,0.75748,0.53431,1.05808,0.64823,0.00294,9.14058e-05,9.14058e-05,9.14058e-05
10,880.131,1.42798,1.09664,0.00298,0.77944,0.67903,0.75936,0.53613,1.06136,0.64414,0.00291,8.92183e-05,8.92183e-05,8.92183e-05
11,964.533,1.42542,1.10626,0.00299,0.77796,0.68286,0.75886,0.5365,1.0609,0.63282,0.00291,8.68198e-05,8.68198e-05,8.68198e-05
12,1049.2,1.4223,1.10596,0.00301,0.79208,0.6759,0.7623,0.54117,1.05947,0.64252,0.00292,8.42252e-05,8.42252e-05,8.42252e-05
13,1133.5,1.42346,1.09744,0.003,0.79129,0.67385,0.76881,0.5419,1.05668,0.64918,0.00292,8.14503e-05,8.14503e-05,8.14503e-05
14,1218.27,1.41183,1.09346,0.00294,0.80132,0.66813,0.76146,0.54085,1.05421,0.64252,0.00289,7.85124e-05,7.85124e-05,7.85124e-05
15,1302.96,1.41583,1.08769,0.00291,0.79542,0.67989,0.76507,0.54431,1.05669,0.64245,0.0029,7.54296e-05,7.54296e-05,7.54296e-05
16,1387.79,1.40694,1.07112,0.00289,0.79322,0.67676,0.75856,0.53524,1.05798,0.64975,0.0029,7.22208e-05,7.22208e-05,7.22208e-05
17,1473.02,1.41734,1.06943,0.00292,0.77279,0.69748,0.75876,0.53792,1.05264,0.64141,0.00289,6.89058e-05,6.89058e-05,6.89058e-05
18,1557.68,1.40327,1.06344,0.0029,0.77913,0.69732,0.76343,0.54356,1.05069,0.64179,0.00287,6.5505e-05,6.5505e-05,6.5505e-05
19,1643.17,1.4059,1.07618,0.00291,0.77261,0.69431,0.7598,0.53855,1.05637,0.63898,0.00288,6.20396e-05,6.20396e-05,6.20396e-05
20,1727.44,1.40809,1.06352,0.00287,0.79563,0.6781,0.75636,0.53347,1.05109,0.63991,0.00288,5.85307e-05,5.85307e-05,5.85307e-05
21,1812.69,1.39149,1.06431,0.00286,0.76985,0.69137,0.7593,0.53551,1.0513,0.63744,0.00288,5.5e-05,5.5e-05,5.5e-05
22,1897.37,1.39888,1.06032,0.00285,0.77804,0.68124,0.75976,0.53879,1.05082,0.64518,0.00287,5.14693e-05,5.14693e-05,5.14693e-05
23,1981.63,1.3935,1.04939,0.00285,0.76916,0.68961,0.75873,0.53805,1.04918,0.64496,0.00287,4.79604e-05,4.79604e-05,4.79604e-05
24,2066.08,1.38702,1.05564,0.00285,0.74783,0.68882,0.75279,0.53511,1.04739,0.6377,0.00286,4.4495e-05,4.4495e-05,4.4495e-05
25,2150.7,1.3911,1.05095,0.00285,0.7694,0.69169,0.7603,0.53928,1.04944,0.64093,0.00287,4.10942e-05,4.10942e-05,4.10942e-05
